,alg_type,env_name,gae_lambda,ent_coef,actor_lr,critic_lr,percentile_normalized_return,mean_return
76,advn_norm_ema,ant,0.3,0.001,1e-05,0.1,0.6132166059592525,-10.819702813625335
77,advn_norm_ema,ant,0.3,0.001,0.0001,1e-05,0.8880026634692954,6.37532031416893
78,advn_norm_ema,ant,0.3,0.001,0.0001,0.0001,1.148934459729065,22.70339864579847
79,advn_norm_ema,ant,0.3,0.001,0.0001,0.001,1.184655999911233,24.93871114730835
80,advn_norm_ema,ant,0.3,0.001,0.0001,0.01,0.9713166064010486,11.588776879471077
81,advn_norm_ema,ant,0.3,0.001,0.0001,0.1,0.8661322572981779,5.00675691857934
82,advn_norm_ema,ant,0.3,0.001,0.001,1e-05,0.5524109514998383,-14.624679835401931
83,advn_norm_ema,ant,0.3,0.001,0.001,0.0001,0.5744753124193087,-13.243979519861254
84,advn_norm_ema,ant,0.3,0.001,0.001,0.001,0.6025284004246938,-11.488528382967186
85,advn_norm_ema,ant,0.3,0.001,0.001,0.01,0.5623781917452341,-14.000969418312819
86,advn_norm_ema,ant,0.3,0.001,0.001,0.1,0.5487039863976686,-14.856647029237461
87,advn_norm_ema,ant,0.3,0.001,0.01,1e-05,0.5291673398558694,-16.079172990597428
88,advn_norm_ema,ant,0.3,0.001,0.01,0.0001,0.548768680315272,-14.85259874010846
89,advn_norm_ema,ant,0.3,0.001,0.01,0.001,0.5644151027948108,-13.873507592468718
90,advn_norm_ema,ant,0.3,0.001,0.01,0.01,0.5373926785234462,-15.564463875060317
91,advn_norm_ema,ant,0.3,0.001,0.01,0.1,0.49771732326386675,-18.04719046415223
92,advn_norm_ema,ant,0.3,0.001,0.1,1e-05,0.029410710860047855,-47.35196343607911
93,advn_norm_ema,ant,0.3,0.001,0.1,0.0001,0.1661621049888255,-38.79460282575594
94,advn_norm_ema,ant,0.3,0.001,0.1,0.001,0.10275421426169733,-42.76241748643162
95,advn_norm_ema,ant,0.3,0.001,0.1,0.01,0.1254011759605058,-41.3452603216397
96,advn_norm_ema,ant,0.3,0.001,0.1,0.1,0.12961109989329148,-41.081819956264326
97,advn_norm_ema,ant,0.3,0.01,1e-05,1e-05,0.4621987363083255,-20.269802956581117
98,advn_norm_ema,ant,0.3,0.01,1e-05,0.0001,0.6184379276535266,-10.492973182201386
99,advn_norm_ema,ant,0.3,0.01,1e-05,0.001,0.6587242409456803,-7.972015259265899
